timestep_0_feature_0,timestep_0_feature_1,timestep_0_feature_2,timestep_0_feature_3,timestep_0_feature_4,timestep_0_feature_5,timestep_0_feature_6,timestep_0_feature_7,timestep_0_feature_8,timestep_0_feature_9,timestep_1_feature_0,timestep_1_feature_1,timestep_1_feature_2,timestep_1_feature_3,timestep_1_feature_4,timestep_1_feature_5,timestep_1_feature_6,timestep_1_feature_7,timestep_1_feature_8,timestep_1_feature_9,timestep_2_feature_0,timestep_2_feature_1,timestep_2_feature_2,timestep_2_feature_3,timestep_2_feature_4,timestep_2_feature_5,timestep_2_feature_6,timestep_2_feature_7,timestep_2_feature_8,timestep_2_feature_9,timestep_3_feature_0,timestep_3_feature_1,timestep_3_feature_2,timestep_3_feature_3,timestep_3_feature_4,timestep_3_feature_5,timestep_3_feature_6,timestep_3_feature_7,timestep_3_feature_8,timestep_3_feature_9,timestep_4_feature_0,timestep_4_feature_1,timestep_4_feature_2,timestep_4_feature_3,timestep_4_feature_4,timestep_4_feature_5,timestep_4_feature_6,timestep_4_feature_7,timestep_4_feature_8,timestep_4_feature_9,label,timestamp_date,timestamp_time,capture_duration
159.0,0.0,128.0,6.0,63235.0,443.0,252.0,105.0,149.0,51.0,159.0,0.0,128.0,6.0,63235.0,443.0,252.0,105.0,149.0,51.0,348.0,0.0,128.0,6.0,63235.0,443.0,252.0,294.0,149.0,51.0,348.0,0.0,128.0,6.0,63235.0,443.0,252.0,294.0,149.0,51.0,465.0,0.0,128.0,6.0,63235.0,443.0,252.0,411.0,149.0,51.0,Web download,20241029,202924,4
159.0,0.0,128.0,6.0,63235.0,443.0,252.0,105.0,149.0,51.0,348.0,0.0,128.0,6.0,63235.0,443.0,252.0,294.0,149.0,51.0,348.0,0.0,128.0,6.0,63235.0,443.0,252.0,294.0,149.0,51.0,465.0,0.0,128.0,6.0,63235.0,443.0,252.0,411.0,149.0,51.0,465.0,0.0,128.0,6.0,63235.0,443.0,252.0,411.0,149.0,51.0,Web download,20241029,202924,4
348.0,0.0,128.0,6.0,63235.0,443.0,252.0,294.0,149.0,51.0,348.0,0.0,128.0,6.0,63235.0,443.0,252.0,294.0,149.0,51.0,465.0,0.0,128.0,6.0,63235.0,443.0,252.0,411.0,149.0,51.0,465.0,0.0,128.0,6.0,63235.0,443.0,252.0,411.0,149.0,51.0,201.0,0.0,128.0,6.0,63235.0,443.0,252.0,147.0,149.0,51.0,Web download,20241029,202924,4
348.0,0.0,128.0,6.0,63235.0,443.0,252.0,294.0,149.0,51.0,465.0,0.0,128.0,6.0,63235.0,443.0,252.0,411.0,149.0,51.0,465.0,0.0,128.0,6.0,63235.0,443.0,252.0,411.0,149.0,51.0,201.0,0.0,128.0,6.0,63235.0,443.0,252.0,147.0,149.0,51.0,201.0,0.0,128.0,6.0,63235.0,443.0,252.0,147.0,149.0,51.0,Web download,20241029,202924,4
465.0,0.0,128.0,6.0,63235.0,443.0,252.0,411.0,149.0,51.0,465.0,0.0,128.0,6.0,63235.0,443.0,252.0,411.0,149.0,51.0,201.0,0.0,128.0,6.0,63235.0,443.0,252.0,147.0,149.0,51.0,201.0,0.0,128.0,6.0,63235.0,443.0,252.0,147.0,149.0,51.0,753.0,0.0,128.0,6.0,63235.0,443.0,252.0,699.0,149.0,51.0,Web download,20241029,202924,4
465.0,0.0,128.0,6.0,63235.0,443.0,252.0,411.0,149.0,51.0,201.0,0.0,128.0,6.0,63235.0,443.0,252.0,147.0,149.0,51.0,201.0,0.0,128.0,6.0,63235.0,443.0,252.0,147.0,149.0,51.0,753.0,0.0,128.0,6.0,63235.0,443.0,252.0,699.0,149.0,51.0,753.0,0.0,128.0,6.0,63235.0,443.0,252.0,699.0,149.0,51.0,Web download,20241029,202924,4
201.0,0.0,128.0,6.0,63235.0,443.0,252.0,147.0,149.0,51.0,201.0,0.0,128.0,6.0,63235.0,443.0,252.0,147.0,149.0,51.0,753.0,0.0,128.0,6.0,63235.0,443.0,252.0,699.0,149.0,51.0,753.0,0.0,128.0,6.0,63235.0,443.0,252.0,699.0,149.0,51.0,257.0,0.0,128.0,6.0,63235.0,443.0,252.0,203.0,149.0,51.0,Web download,20241029,202924,4
201.0,0.0,128.0,6.0,63235.0,443.0,252.0,147.0,149.0,51.0,753.0,0.0,128.0,6.0,63235.0,443.0,252.0,699.0,149.0,51.0,753.0,0.0,128.0,6.0,63235.0,443.0,252.0,699.0,149.0,51.0,257.0,0.0,128.0,6.0,63235.0,443.0,252.0,203.0,149.0,51.0,257.0,0.0,128.0,6.0,63235.0,443.0,252.0,203.0,149.0,51.0,Web download,20241029,202924,4
753.0,0.0,128.0,6.0,63235.0,443.0,252.0,699.0,149.0,51.0,753.0,0.0,128.0,6.0,63235.0,443.0,252.0,699.0,149.0,51.0,257.0,0.0,128.0,6.0,63235.0,443.0,252.0,203.0,149.0,51.0,257.0,0.0,128.0,6.0,63235.0,443.0,252.0,203.0,149.0,51.0,561.0,0.0,128.0,6.0,63235.0,443.0,252.0,507.0,149.0,51.0,Web download,20241029,202924,4
753.0,0.0,128.0,6.0,63235.0,443.0,252.0,699.0,149.0,51.0,257.0,0.0,128.0,6.0,63235.0,443.0,252.0,203.0,149.0,51.0,257.0,0.0,128.0,6.0,63235.0,443.0,252.0,203.0,149.0,51.0,561.0,0.0,128.0,6.0,63235.0,443.0,252.0,507.0,149.0,51.0,561.0,0.0,128.0,6.0,63235.0,443.0,252.0,507.0,149.0,51.0,Web download,20241029,202924,4
257.0,0.0,128.0,6.0,63235.0,443.0,252.0,203.0,149.0,51.0,257.0,0.0,128.0,6.0,63235.0,443.0,252.0,203.0,149.0,51.0,561.0,0.0,128.0,6.0,63235.0,443.0,252.0,507.0,149.0,51.0,561.0,0.0,128.0,6.0,63235.0,443.0,252.0,507.0,149.0,51.0,1815.0,0.0,128.0,6.0,63235.0,443.0,252.0,1761.0,149.0,51.0,Web download,20241029,202924,4
257.0,0.0,128.0,6.0,63235.0,443.0,252.0,203.0,149.0,51.0,561.0,0.0,128.0,6.0,63235.0,443.0,252.0,507.0,149.0,51.0,561.0,0.0,128.0,6.0,63235.0,443.0,252.0,507.0,149.0,51.0,1815.0,0.0,128.0,6.0,63235.0,443.0,252.0,1761.0,149.0,51.0,1815.0,0.0,128.0,6.0,63235.0,443.0,252.0,1761.0,149.0,51.0,Web download,20241029,202924,4
561.0,0.0,128.0,6.0,63235.0,443.0,252.0,507.0,149.0,51.0,561.0,0.0,128.0,6.0,63235.0,443.0,252.0,507.0,149.0,51.0,1815.0,0.0,128.0,6.0,63235.0,443.0,252.0,1761.0,149.0,51.0,1815.0,0.0,128.0,6.0,63235.0,443.0,252.0,1761.0,149.0,51.0,2612.0,0.0,128.0,6.0,63235.0,443.0,252.0,2558.0,149.0,51.0,Web download,20241029,202924,4
561.0,0.0,128.0,6.0,63235.0,443.0,252.0,507.0,149.0,51.0,1815.0,0.0,128.0,6.0,63235.0,443.0,252.0,1761.0,149.0,51.0,1815.0,0.0,128.0,6.0,63235.0,443.0,252.0,1761.0,149.0,51.0,2612.0,0.0,128.0,6.0,63235.0,443.0,252.0,2558.0,149.0,51.0,2612.0,0.0,128.0,6.0,63235.0,443.0,252.0,2558.0,149.0,51.0,Web download,20241029,202924,4
1815.0,0.0,128.0,6.0,63235.0,443.0,252.0,1761.0,149.0,51.0,1815.0,0.0,128.0,6.0,63235.0,443.0,252.0,1761.0,149.0,51.0,2612.0,0.0,128.0,6.0,63235.0,443.0,252.0,2558.0,149.0,51.0,2612.0,0.0,128.0,6.0,63235.0,443.0,252.0,2558.0,149.0,51.0,800.0,0.0,128.0,6.0,63235.0,443.0,252.0,746.0,149.0,51.0,Web download,20241029,202924,4
1815.0,0.0,128.0,6.0,63235.0,443.0,252.0,1761.0,149.0,51.0,2612.0,0.0,128.0,6.0,63235.0,443.0,252.0,2558.0,149.0,51.0,2612.0,0.0,128.0,6.0,63235.0,443.0,252.0,2558.0,149.0,51.0,800.0,0.0,128.0,6.0,63235.0,443.0,252.0,746.0,149.0,51.0,800.0,0.0,128.0,6.0,63235.0,443.0,252.0,746.0,149.0,51.0,Web download,20241029,202924,4
2612.0,0.0,128.0,6.0,63235.0,443.0,252.0,2558.0,149.0,51.0,2612.0,0.0,128.0,6.0,63235.0,443.0,252.0,2558.0,149.0,51.0,800.0,0.0,128.0,6.0,63235.0,443.0,252.0,746.0,149.0,51.0,800.0,0.0,128.0,6.0,63235.0,443.0,252.0,746.0,149.0,51.0,1249.0,0.0,128.0,6.0,63235.0,443.0,252.0,1195.0,149.0,51.0,Web download,20241029,202924,4
2612.0,0.0,128.0,6.0,63235.0,443.0,252.0,2558.0,149.0,51.0,800.0,0.0,128.0,6.0,63235.0,443.0,252.0,746.0,149.0,51.0,800.0,0.0,128.0,6.0,63235.0,443.0,252.0,746.0,149.0,51.0,1249.0,0.0,128.0,6.0,63235.0,443.0,252.0,1195.0,149.0,51.0,1249.0,0.0,128.0,6.0,63235.0,443.0,252.0,1195.0,149.0,51.0,Web download,20241029,202924,4
800.0,0.0,128.0,6.0,63235.0,443.0,252.0,746.0,149.0,51.0,800.0,0.0,128.0,6.0,63235.0,443.0,252.0,746.0,149.0,51.0,1249.0,0.0,128.0,6.0,63235.0,443.0,252.0,1195.0,149.0,51.0,1249.0,0.0,128.0,6.0,63235.0,443.0,252.0,1195.0,149.0,51.0,103.0,0.0,47.0,6.0,443.0,63235.0,141.0,49.0,51.0,149.0,Normal,20241029,202924,4
800.0,0.0,128.0,6.0,63235.0,443.0,252.0,746.0,149.0,51.0,1249.0,0.0,128.0,6.0,63235.0,443.0,252.0,1195.0,149.0,51.0,1249.0,0.0,128.0,6.0,63235.0,443.0,252.0,1195.0,149.0,51.0,103.0,0.0,47.0,6.0,443.0,63235.0,141.0,49.0,51.0,149.0,103.0,0.0,47.0,6.0,443.0,63235.0,141.0,49.0,51.0,149.0,Normal,20241029,202924,4
1249.0,0.0,128.0,6.0,63235.0,443.0,252.0,1195.0,149.0,51.0,1249.0,0.0,128.0,6.0,63235.0,443.0,252.0,1195.0,149.0,51.0,103.0,0.0,47.0,6.0,443.0,63235.0,141.0,49.0,51.0,149.0,103.0,0.0,47.0,6.0,443.0,63235.0,141.0,49.0,51.0,149.0,574.0,0.0,128.0,6.0,63235.0,443.0,252.0,520.0,149.0,51.0,Web download,20241029,202924,4
1249.0,0.0,128.0,6.0,63235.0,443.0,252.0,1195.0,149.0,51.0,103.0,0.0,47.0,6.0,443.0,63235.0,141.0,49.0,51.0,149.0,103.0,0.0,47.0,6.0,443.0,63235.0,141.0,49.0,51.0,149.0,574.0,0.0,128.0,6.0,63235.0,443.0,252.0,520.0,149.0,51.0,574.0,0.0,128.0,6.0,63235.0,443.0,252.0,520.0,149.0,51.0,Web download,20241029,202924,4
103.0,0.0,47.0,6.0,443.0,63235.0,141.0,49.0,51.0,149.0,103.0,0.0,47.0,6.0,443.0,63235.0,141.0,49.0,51.0,149.0,574.0,0.0,128.0,6.0,63235.0,443.0,252.0,520.0,149.0,51.0,574.0,0.0,128.0,6.0,63235.0,443.0,252.0,520.0,149.0,51.0,2355.0,0.0,128.0,6.0,63235.0,443.0,252.0,2301.0,149.0,51.0,Web download,20241029,202924,4
103.0,0.0,47.0,6.0,443.0,63235.0,141.0,49.0,51.0,149.0,574.0,0.0,128.0,6.0,63235.0,443.0,252.0,520.0,149.0,51.0,574.0,0.0,128.0,6.0,63235.0,443.0,252.0,520.0,149.0,51.0,2355.0,0.0,128.0,6.0,63235.0,443.0,252.0,2301.0,149.0,51.0,2355.0,0.0,128.0,6.0,63235.0,443.0,252.0,2301.0,149.0,51.0,Web download,20241029,202924,4
574.0,0.0,128.0,6.0,63235.0,443.0,252.0,520.0,149.0,51.0,574.0,0.0,128.0,6.0,63235.0,443.0,252.0,520.0,149.0,51.0,2355.0,0.0,128.0,6.0,63235.0,443.0,252.0,2301.0,149.0,51.0,2355.0,0.0,128.0,6.0,63235.0,443.0,252.0,2301.0,149.0,51.0,813.0,0.0,128.0,6.0,63235.0,443.0,252.0,759.0,149.0,51.0,Web download,20241029,202924,4
574.0,0.0,128.0,6.0,63235.0,443.0,252.0,520.0,149.0,51.0,2355.0,0.0,128.0,6.0,63235.0,443.0,252.0,2301.0,149.0,51.0,2355.0,0.0,128.0,6.0,63235.0,443.0,252.0,2301.0,149.0,51.0,813.0,0.0,128.0,6.0,63235.0,443.0,252.0,759.0,149.0,51.0,813.0,0.0,128.0,6.0,63235.0,443.0,252.0,759.0,149.0,51.0,Web download,20241029,202924,4
2355.0,0.0,128.0,6.0,63235.0,443.0,252.0,2301.0,149.0,51.0,2355.0,0.0,128.0,6.0,63235.0,443.0,252.0,2301.0,149.0,51.0,813.0,0.0,128.0,6.0,63235.0,443.0,252.0,759.0,149.0,51.0,813.0,0.0,128.0,6.0,63235.0,443.0,252.0,759.0,149.0,51.0,1951.0,0.0,128.0,6.0,63235.0,443.0,252.0,1897.0,149.0,51.0,Web download,20241029,202924,4
2355.0,0.0,128.0,6.0,63235.0,443.0,252.0,2301.0,149.0,51.0,813.0,0.0,128.0,6.0,63235.0,443.0,252.0,759.0,149.0,51.0,813.0,0.0,128.0,6.0,63235.0,443.0,252.0,759.0,149.0,51.0,1951.0,0.0,128.0,6.0,63235.0,443.0,252.0,1897.0,149.0,51.0,1951.0,0.0,128.0,6.0,63235.0,443.0,252.0,1897.0,149.0,51.0,Web download,20241029,202924,4
813.0,0.0,128.0,6.0,63235.0,443.0,252.0,759.0,149.0,51.0,813.0,0.0,128.0,6.0,63235.0,443.0,252.0,759.0,149.0,51.0,1951.0,0.0,128.0,6.0,63235.0,443.0,252.0,1897.0,149.0,51.0,1951.0,0.0,128.0,6.0,63235.0,443.0,252.0,1897.0,149.0,51.0,95.0,0.0,128.0,6.0,63235.0,443.0,252.0,41.0,149.0,51.0,Web download,20241029,202924,4
813.0,0.0,128.0,6.0,63235.0,443.0,252.0,759.0,149.0,51.0,1951.0,0.0,128.0,6.0,63235.0,443.0,252.0,1897.0,149.0,51.0,1951.0,0.0,128.0,6.0,63235.0,443.0,252.0,1897.0,149.0,51.0,95.0,0.0,128.0,6.0,63235.0,443.0,252.0,41.0,149.0,51.0,95.0,0.0,128.0,6.0,63235.0,443.0,252.0,41.0,149.0,51.0,Web download,20241029,202924,4
1951.0,0.0,128.0,6.0,63235.0,443.0,252.0,1897.0,149.0,51.0,1951.0,0.0,128.0,6.0,63235.0,443.0,252.0,1897.0,149.0,51.0,95.0,0.0,128.0,6.0,63235.0,443.0,252.0,41.0,149.0,51.0,95.0,0.0,128.0,6.0,63235.0,443.0,252.0,41.0,149.0,51.0,1465.0,0.0,128.0,6.0,63235.0,443.0,252.0,1411.0,149.0,51.0,Web download,20241029,202924,4
1951.0,0.0,128.0,6.0,63235.0,443.0,252.0,1897.0,149.0,51.0,95.0,0.0,128.0,6.0,63235.0,443.0,252.0,41.0,149.0,51.0,95.0,0.0,128.0,6.0,63235.0,443.0,252.0,41.0,149.0,51.0,1465.0,0.0,128.0,6.0,63235.0,443.0,252.0,1411.0,149.0,51.0,1465.0,0.0,128.0,6.0,63235.0,443.0,252.0,1411.0,149.0,51.0,Web download,20241029,202924,4
95.0,0.0,128.0,6.0,63235.0,443.0,252.0,41.0,149.0,51.0,95.0,0.0,128.0,6.0,63235.0,443.0,252.0,41.0,149.0,51.0,1465.0,0.0,128.0,6.0,63235.0,443.0,252.0,1411.0,149.0,51.0,1465.0,0.0,128.0,6.0,63235.0,443.0,252.0,1411.0,149.0,51.0,1622.0,0.0,128.0,6.0,63235.0,443.0,252.0,1568.0,149.0,51.0,Web download,20241029,202924,4
95.0,0.0,128.0,6.0,63235.0,443.0,252.0,41.0,149.0,51.0,1465.0,0.0,128.0,6.0,63235.0,443.0,252.0,1411.0,149.0,51.0,1465.0,0.0,128.0,6.0,63235.0,443.0,252.0,1411.0,149.0,51.0,1622.0,0.0,128.0,6.0,63235.0,443.0,252.0,1568.0,149.0,51.0,1622.0,0.0,128.0,6.0,63235.0,443.0,252.0,1568.0,149.0,51.0,Web download,20241029,202924,4
1465.0,0.0,128.0,6.0,63235.0,443.0,252.0,1411.0,149.0,51.0,1465.0,0.0,128.0,6.0,63235.0,443.0,252.0,1411.0,149.0,51.0,1622.0,0.0,128.0,6.0,63235.0,443.0,252.0,1568.0,149.0,51.0,1622.0,0.0,128.0,6.0,63235.0,443.0,252.0,1568.0,149.0,51.0,1538.0,0.0,128.0,6.0,63235.0,443.0,252.0,1484.0,149.0,51.0,Web download,20241029,202924,4
1465.0,0.0,128.0,6.0,63235.0,443.0,252.0,1411.0,149.0,51.0,1622.0,0.0,128.0,6.0,63235.0,443.0,252.0,1568.0,149.0,51.0,1622.0,0.0,128.0,6.0,63235.0,443.0,252.0,1568.0,149.0,51.0,1538.0,0.0,128.0,6.0,63235.0,443.0,252.0,1484.0,149.0,51.0,1538.0,0.0,128.0,6.0,63235.0,443.0,252.0,1484.0,149.0,51.0,Web download,20241029,202924,4
1622.0,0.0,128.0,6.0,63235.0,443.0,252.0,1568.0,149.0,51.0,1622.0,0.0,128.0,6.0,63235.0,443.0,252.0,1568.0,149.0,51.0,1538.0,0.0,128.0,6.0,63235.0,443.0,252.0,1484.0,149.0,51.0,1538.0,0.0,128.0,6.0,63235.0,443.0,252.0,1484.0,149.0,51.0,722.0,0.0,128.0,6.0,63235.0,443.0,252.0,668.0,149.0,51.0,Web download,20241029,202924,4
